id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
66,vlCZdi4V0s0,Nueva Zelanda 1 – 5 Bélgica | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,602,0,8,,,,12,0.222,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
71,tn_-VhwlYfY,¿Por qué existen las guayanas?,Un Mundo Inmenso,676.0,practico_personal,medio,,1,youtube_manual,0,17.0,1,1.09,1,1,1,1,163.2,0.206,0.043,17.0,3.26,0.6245,0.479,0.772,4.81,4.35,4.46,2.72,6.53,8.7,0.0,12.51,0.54,3.81,0.241,0.54,0.0,0,0.0,0.0,0.0,0.0,8,3,0,1,863,0,2,1.0,0.027,0.82,6,0.042,0,1,0,0,0,medio,explicativo,perenne,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_humana,es,Travel & Events
6,5ssKG4_4BL4,"LA BARRA BRAVA MAS GRANDE DEL MUNDO POR DENTRO | Gaviões da Fiel, Corinthians",Joaco Santos ,2058.0,deporte_gaming,largo,,1,youtube_auto,1,11.5,1,0.67,1,1,1,1,101.2,0.647,0.261,11.5,8.35,0.5942,0.518,0.639,4.35,17.57,1.53,0.0,0.29,1.44,0.58,14.11,0.58,6.05,0.165,1.44,0.0,0,0.0,0.0,0.0,0.0,1,1,0,1,325,0,8,1.0,0.001,1.35,8,0.661,0,0,0,0,1,largo,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Sports
72,rBLhdrKCx6U,Francia 3 – 0 Suecia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,696,0,7,,,,15,0.231,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
73,AE1VbuTbd74,Costa de Marfil 1 – 2 Noruega | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,571,0,8,,,,12,0.217,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
74,pHo0tKmqo-0,Estados Unidos 2 – 0 Bosnia y Herzegovina | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,725,0,9,,,,12,0.193,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
77,XZzNOiU3dCM,ANARQUÍA EN VENEZUELA: Delcy bloquea la ayuda para el terremoto - @SoloFonseca,Solo Fonseca,1899.0,informativo,largo,,1,youtube_auto,1,18.0,1,1.31,1,1,1,1,196.4,0.146,0.016,18.0,5.95,0.6126,0.476,0.679,4.64,9.17,1.85,0.64,0.48,7.08,0.64,13.83,1.93,6.92,0.327,0.64,0.0,0,0.97,0.0,0.0,0.97,14,11,6,1,4812,0,7,0.429,0.013,1.53,19,0.344,0,0,0,0,0,largo,actualidad,perecedero,declarativa,con_fuentes_verificables,bloque_continuo,transcripcion_automatica,es,News & Politics
78,88GRKKk1e70,Portugal 2 – 1 Croacia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,866,0,7,,,,19,0.22,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
79,tyv_vE0YAX0,Suiza 2 – 0 Argelia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,579,0,7,,,,12,0.237,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
80,DBF0O70OJTI,"Tengo 40 años, nadie me preparó para esto...",PlanetaJuan,1596.0,practico_personal,medio,,1,youtube_auto,1,17.2,1,1.28,1,1,1,1,192.5,0.182,0.019,17.2,5.47,0.579,0.428,0.654,4.15,8.01,3.05,0.0,0.39,5.08,0.39,7.42,2.54,5.66,0.494,0.2,0.0,0,0.39,0.0,0.0,0.39,8,4,0,1,756,0,4,0.75,0.018,0.62,22,0.032,0,0,0,0,0,medio,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,People & Blogs
