id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
303,yYRARygpP34,20K LIKES Y HACEMOS UN DOCUMENTAL JUNTOS? 🤝​❤️​,VALMASEDA,128,entretenimiento,corto,chart_canal,1,youtube_auto,1,8.9,1,1.58,1,1,1,1,237.7,0.347,0.2,8.9,11.83,0.5971,0.436,0.857,4.49,5.92,2.37,0.0,0.0,1.97,0.0,17.75,0.0,1.97,0.202,1.97,0.0,0,0.0,0.0,0.0,0.0,5,2,0,1,281,0,4,0.5,0.223,0.39,11,1.0,0,1,0,0,1,corto,opinion_review,perenne,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Comedy
313,i0m2PhGJoWg,Ludovico termina en la cárcel | La Familia PLuche 4/4 | C7 T2,Distrito Comedia,272,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,6.2,1,0.68,1,1,1,1,101.2,0.573,0.2,6.2,23.97,0.5475,0.453,0.725,3.97,10.89,1.09,0.0,0.0,0.0,0.0,4.36,2.18,6.54,0.381,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0,0,0,559,0,5,0.2,0.673,0.22,10,0.167,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Entertainment
314,biayD8E7KOc,Elmer y Diano - Nada Personal,Elmer y Diano & Los Tuexi,168,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,1.11,1,1,1,1,166.1,0.288,0.0,,,0.545,0.404,0.833,3.83,2.15,0.43,0.0,0.0,0.0,0.0,6.45,0.0,19.35,0.025,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,29,0,3,0.333,0.222,0.43,0,0.174,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Entertainment
312,DaeFSP3OJvc,NUNCA vean Youtube Shorts #2 💀,MagmaBoi,520,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.88,1,1,1,1,132.2,0.344,0.056,,,0.6145,0.454,0.76,3.97,8.73,2.01,0.0,0.87,1.75,0.0,6.98,1.75,6.11,0.34,1.75,0.0,0,0.87,0.0,0.0,0.87,3,0,0,0,317,0,4,1.0,0.058,0.87,13,0.318,0,0,0,0,0,corto,opinion_review,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Entertainment
310,lhdi9nAUUM8,A DONDE  VAYAS BANDA RG LA PURA CAJETA,BANDA RG LA PURA CAJETA,253,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.37,0,1,0,0,54.8,0.353,0.111,,,0.51,0.468,0.6,4.03,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66,0.055,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0.25,0.069,1.73,0,1.0,0,0,0,0,1,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_parcial,es,Entertainment
311,pqeI5-wreQY,Anya y Damian se QUEDAN JUNTOS por MUCHO MAS TIEMPO! | Spy x Family Manga 112 Español,ALEX YAM,490,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,1.12,1,1,1,1,167.9,0.258,0.059,,,0.6219,0.475,0.76,4.1,23.34,1.02,0.0,0.0,0.73,0.0,8.02,0.0,7.29,0.064,0.73,0.0,0,0.0,0.0,0.73,0.0,12,2,0,1,1685,1,8,0.75,0.002,1.53,18,0.5,1,0,0,0,1,corto,resumen_evento,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Entertainment
324,I5hGyi3eZW4,ETHAN G - NUNCA HAN CONFIAO,ETHAN G,152,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.79,1,1,1,1,119.2,0.614,0.167,,,0.6317,0.434,0.576,4.0,3.31,0.66,0.0,0.0,3.31,0.0,13.25,0.0,23.18,0.021,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0,0,0,357,0,3,0.333,0.189,0.66,24,1.0,0,0,0,0,1,corto,sin_clasificar,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Music
326,v9c796Fb_UI,Neton Vega - Todo a Su Tiempo,Exitos Planeta MX,240,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.21,0,1,1,0,31.8,0.416,0.125,,,0.6614,0.512,0.86,4.09,15.75,0.0,0.0,0.0,7.87,0.0,0.0,0.0,15.75,0.031,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,3,0.333,0.15,0.79,1,0.227,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_parcial,es,Music
388,skVCKS-zUyo,ARMANDO PC GAMING DE SUSCRIPTORES 🔴,Ferri,8369,entretenimiento,largo,chart_canal,1,youtube_auto,1,7.7,1,0.79,1,1,1,1,119.1,0.28,0.014,7.7,22.46,0.5478,0.446,0.536,3.98,14.93,5.45,2.05,0.06,5.96,0.48,6.14,2.05,4.64,0.496,2.65,0.0,0,0.12,0.0,0.3,0.12,4,2,0,1,363,0,3,1.0,0.028,0.14,0,1.0,0,0,0,0,1,muy_largo,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Entertainment
391,Xgl9iDXkyC4,Este es MI ÚLTIMO DESEO ANTES de M0R1R: Tengo LEUCEMIA a mis 8 AÑOS y estoy DESAHUCIADA | Mr Doctor,Mr Doctor,5631,entretenimiento,largo,busqueda_semilla,1,youtube_auto,1,14281.0,0,1.01,1,1,1,1,152.2,0.318,0.064,,,0.5632,0.445,0.598,4.29,16.18,1.8,0.49,0.63,3.08,0.49,10.08,1.12,4.97,0.296,0.56,0.0,0,0.14,0.0,0.35,0.14,7,0,0,0,1076,0,9,0.556,0.01,0.71,7,0.64,0,0,0,0,1,muy_largo,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Entertainment
